Index,ID_x,Drug Name_x,Insurance,Check_x,Quantity,Net,Copay,Covered,Rxcui,Check_y,Title,Drug Name_y,Dosage Form,Strength,Units,Class,NDC,Drug,In Stock,Pack Size,AWP,ACQ,Price Update,Units Qty,Scripts,Drug Full Name,Db Status,ID_y,ClassDb,RxNorm Name,Cleaned Up Drug Name
1,1,METRONIDAZOLGEL1%,77993322- new,TRUE,55,104.64,1.55,,577237,TRUE,Inventory Database X,METRONIDAZOL,Gel,1,%,Biopsy Topical ABX,12345-6789-01,METRONIDAZOL Gel 1%,,,,,,,,,SR-DB : Updated on 11/18/2024,30,Biopsy Topical ABX,metronidazole 0.01 MG/MG Topical Gel,Metronidazol Gel 1%
2,3,CLINDAMYCINLOT1%,77993322- new,TRUE,60,42.79,1.55,,197519,TRUE,Inventory Database X,CLINDAMYCIN,Lot,1,%,Acne Topical ABX,12345-6789-01,CLINDAMYCIN Lot 1%,,,,,,,,,SR-DB : Updated on 11/18/2024,36,Acne Topical ABX,clindamycin 10 MG/ML Topical Lotion,Clindamycin Lotion 1%
3,4,CLINDAMYCINSOL1%,77993322- new,TRUE,60,18.74,1.55,,309333,TRUE,Inventory Database X,CLINDAMYCIN,Sol,1,%,Acne Topical ABX,12345-6789-01,CLINDAMYCIN Sol 1%,,,,,,,,,SR-DB : Updated on 11/18/2024,37,Acne Topical ABX,clindamycin 10 MG/ML Topical Solution,Clindamycin Solution 1%
4,5,METRONIDAZOLCRE0.75%,77993322- new,TRUE,45,58.62,1.55,,311678,TRUE,Inventory Database X,METRONIDAZOL,Cre,0.75,%,Biopsy Topical ABX,12345-6789-01,METRONIDAZOL Cre 0.75%,,,,,,,,,SR-DB : Updated on 11/18/2024,28,Biopsy Topical ABX,metronidazole 7.5 MG/ML Topical Cream,Metronidazol Cream 0.75%
5,6,METRONIDAZOLGEL0.75%,77993322- new,TRUE,45,86.48,1.55,,311679,TRUE,Inventory Database X,METRONIDAZOL,Gel,0.75,%,Biopsy Topical ABX,12345-6789-01,METRONIDAZOL Gel 0.75%,,,,,,,,,SR-DB : Updated on 11/18/2024,29,Biopsy Topical ABX,metronidazole 0.0075 MG/MG Topical Gel,Metronidazol Gel 0.75%
6,7,HYDROCORTISOLOT0.1%,77993322- new,TRUE,59,NC,NC,,103403,TRUE,Inventory Database X,HYDROCORTISO,Lot,0.1,%,Scalp Topical Steroids,12345-6789-01,HYDROCORTISO Lot 0.1%,,,,,,,,,SR-DB : Updated on 11/18/2024,65,Scalp Topical Steroids,hydrocortisone 10 MG/ML Topical Lotion,Hydrocortiso Lotion 0.1%
7,8,FLURANDRENOLLOT0.05%,77993322- new,TRUE,120,NC,NC,,197719,TRUE,Inventory Database X,FLURANDRENOL,Lot,0.05,%,Scalp Topical Steroids,12345-6789-01,FLURANDRENOL Lot 0.05%,,,,,,,,,SR-DB : Updated on 11/18/2024,64,Scalp Topical Steroids,flurandrenolide 0.5 MG/ML Topical Lotion,Flurandrenol Lotion 0.05%
8,9,DESONIDELOT0.05%,77993322- new,TRUE,59,NC,NC,,197572,TRUE,Inventory Database X,DESONIDE,Lot,0.05,%,Scalp Topical Steroids,12345-6789-01,DESONIDE Lot 0.05%,,,,,,,,,SR-DB : Updated on 11/18/2024,60,Scalp Topical Steroids,desonide 0.5 MG/ML Topical Lotion,Desonide Lotion 0.05%
9,13,CROTANLOT10%,77993322- new,TRUE,237,NC,NC,,2049603,TRUE,Inventory Database X,CROTAN,Lot,10,%,Non-Ster Anti-Inflam,12345-6789-01,CROTAN Lot 10%,,,,,,,,,SR-DB : Updated on 11/18/2024,93,Non-Ster Anti-Inflam,crotamiton 100 MG/ML Topical Lotion [Crotan],Crotan Lotion 10%
12,16,DOXYCYCLINETAB75MG,77993322- new,TRUE,30,17.84,0,,350481,TRUE,Inventory Database X,DOXYCYCLINE Hyclate,Tab,75,mg,ABX Orals,12345-6789-01,DOXYCYCLINE Hyclate Tab 75mg,,,,,,,,,SR-DB : Updated on 11/18/2024,5,ABX Orals,doxycycline 75 MG,Doxycycline Hydrochloride Tablet 75 Mg
12,16,DOXYCYCLINETAB75MG,77993322- new,TRUE,30,17.84,0,,1649429,TRUE,Inventory Database X,DOXYCYC MONO,Tab,75,mg,ABX Orals,12345-6789-01,DOXYCYC MONO Tab 75mg,,,,,,,,,SR-DB : Updated on 11/18/2024,4,ABX Orals,doxycycline monohydrate 75 MG Oral Tablet,Doxycycline Monohydrate Tablet 75 Mg
14,17,DOXYCYCLINETAB150MG,77993322- new,TRUE,30,NC,NC,,1650444,TRUE,Inventory Database X,DOXYCYC MONO,Tab,150,mg,ABX Orals,12345-6789-01,DOXYCYC MONO Tab 150mg,,,,,,,,,SR-DB : Updated on 11/18/2024,6,ABX Orals,doxycycline monohydrate 150 MG Oral Tablet,Doxycycline Monohydrate Tablet 150 Mg
15,18,CEPHALEXINCAP500MG,77993322- new,TRUE,30,1.93,0,,309114,TRUE,Inventory Database X,CEPHALEXIN,Cap,500,mg,ABX Orals,12345-6789-01,CEPHALEXIN Cap 500mg,,,,,,,,,SR-DB : Updated on 11/18/2024,8,ABX Orals,cephalexin 500 MG Oral Capsule,Cephalexin Capsule 500 Mg
16,20,MINOCYCLINECAP100MG,77993322- new,TRUE,30,13.77,0,,197984,TRUE,Inventory Database X,MINOCYCLINE,Cap,100,mg,ABX Orals,12345-6789-01,MINOCYCLINE Cap 100mg,,,,,,,,,SR-DB : Updated on 11/18/2024,13,ABX Orals,minocycline 100 MG Oral Capsule,Minocycline Capsule 100 Mg
17,21,AMNESTEEMCAP20MG,77993322- new,TRUE,,,,,404061,TRUE,Inventory Database X,AMNESTEEM,Cap,20,mg,Accutane,12345-6789-01,AMNESTEEM Cap 20mg,,,,,,,,,SR-DB : Updated on 11/18/2024,22,Accutane,isotretinoin 20 MG Oral Capsule [Amnesteem],Amnesteem Capsule 20 Mg
17,21,AMNESTEEMCAP20MG,77993322- new,TRUE,,,,,404064,TRUE,Inventory Database X,AMNESTEEM,Cap,40,mg,Accutane,12345-6789-01,AMNESTEEM Cap 40mg,,,,,,,,,SR-DB : Updated on 11/18/2024,23,Accutane,isotretinoin 40 MG Oral Capsule [Amnesteem],Amnesteem Capsule 40 Mg
19,23,ISOTRETINOINCAP30MG,77993322- new,TRUE,,,,,403930,TRUE,Inventory Database X,ISOTRETINOIN,Cap,30,mg,Accutane,12345-6789-01,ISOTRETINOIN Cap 30mg,,,,,,,,,SR-DB : Updated on 11/18/2024,24,Accutane,isotretinoin 30 MG Oral Capsule,Isotretinoin Capsule 30 Mg
20,24,ZENATANE10MG,77993322- new,TRUE,,,,,1373333,TRUE,Inventory Database X,ZENATANE,Cap,10,mg,Accutane,12345-6789-01,ZENATANE Cap 10mg,,,,,,,,,SR-DB : Updated on 11/18/2024,25,Accutane,isotretinoin 10 MG Oral Capsule [Zenatane],Zenatane Capsule 10 Mg
20,24,ZENATANE10MG,77993322- new,TRUE,,,,,1605088,TRUE,Inventory Database,ZENATANE,Capsule,30,mg,Acne Treatment,55111-0113-81,ZENATANE Capsule 30mg,270,30,$744.86 ,$47.49 ,8/16/2023,540,17,ZENATANE 30MG CAP,SR-DB : Updated on 11/18/2024,366,Acne Treatment,isotretinoin 30 MG Oral Capsule [Zenatane],Zenatane 30 Mg Capsule
22,25,IVERMECTINCRE1%,77993322- new,TRUE,45,NC,NC,,1598068,TRUE,Inventory Database X,IVERMECTIN,Cre,1,%,Acne Topical ABX,12345-6789-01,IVERMECTIN Cre 1%,,,,,,,,,SR-DB : Updated on 11/18/2024,41,Acne Topical ABX,ivermectin 10 MG/ML Topical Cream,Ivermectin Cream 1%
23,26,ERY/BENZOYLGEL5-3%,77993322- new,TRUE,,,,,244374,TRUE,Inventory Database X,ERY/BENZOYL,Gel,3-May,%,Acne Topical ABX,12345-6789-01,ERY/BENZOYL Gel 5-3%,,,,,,,,,SR-DB : Updated on 11/18/2024,38,Acne Topical ABX,benzoyl peroxide 0.05 MG/MG / erythromycin 0.03 MG/MG Topical Gel,Ery/Benzoyl Gel 5-3%
24,27,MUPIROCINCRE2%,77993322- new,TRUE,30,NC,NC,,311877,TRUE,Inventory Database X,MUPIROCIN,Cre,2,%,Biopsy Topical ABX,12345-6789-01,MUPIROCIN Cre 2%,,,,,,,,,SR-DB : Updated on 11/18/2024,31,Biopsy Topical ABX,mupirocin 20 MG/ML Topical Cream,Mupirocin Cream 2%
24,27,MUPIROCINCRE2%,77993322- new,TRUE,30,NC,NC,,106346,TRUE,Inventory Database X,MUPIROCIN,Oin,2,%,Biopsy Topical ABX,12345-6789-01,MUPIROCIN Oin 2%,,,,,,,,,SR-DB : Updated on 11/18/2024,32,Biopsy Topical ABX,mupirocin 0.02 MG/MG Topical Ointment,Mupirocin Oin 2%
26,28,GENTAMICINCRE0.1%,77993322- new,TRUE,30,33.5,1.55,,197735,TRUE,Inventory Database X,GENTAMICIN,Cre,0.1,%,Biopsy Topical ABX,12345-6789-01,GENTAMICIN Cre 0.1%,,,,,,,,,SR-DB : Updated on 11/18/2024,26,Biopsy Topical ABX,gentamicin 1 MG/ML Topical Cream,Gentamicin Cream 0.1%
26,28,GENTAMICINCRE0.1%,77993322- new,TRUE,30,33.5,1.55,,310465,TRUE,Inventory Database X,GENTAMICIN,Oin,0.1,%,Biopsy Topical ABX,12345-6789-01,GENTAMICIN Oin 0.1%,,,,,,,,,SR-DB : Updated on 11/18/2024,27,Biopsy Topical ABX,gentamicin 0.001 MG/MG Topical Ointment,Gentamicin Oin 0.1%
28,30,BENZOYLPER10%WASH,77993322- new,TRUE,142,NC,NC,,142034,TRUE,Inventory Database X,BENZOYL PER,Wash,10,%,Facewash,12345-6789-01,BENZOYL PER Wash 10%,,,,,,,,,SR-DB : Updated on 11/18/2024,47,Facewash,benzoyl peroxide 100 MG/ML Medicated Liquid Soap,Benzoyl Per Wash 10%
32,34,CICLOPIROXSHA1%,77993322- new,TRUE,120,19.33,15.41,,250344,TRUE,Inventory Database X,CICLOPIROX,Sha,1,%,Anti-fungal,12345-6789-01,CICLOPIROX Sha 1%,,,,,,,,,SR-DB : Updated on 11/18/2024,52,Anti-fungal,ciclopirox 10 MG/ML Medicated Shampoo,Ciclopirox Sha 1%
33,35,KETOCONAZOLESHA2%,77993322- new,TRUE,120,6.39,12.98,,203088,TRUE,Inventory Database X,KETOCONAZOLE,Sha,2,%,Anti-fungal,12345-6789-01,KETOCONAZOLE Sha 2%,,,,,,,,,SR-DB : Updated on 11/18/2024,53,Anti-fungal,ketoconazole 20 MG/ML Topical Cream,Ketoconazole Sha 2%
34,36,CLOBETASOLSHA0.05%,77993322- new,TRUE,118,NC,NC,,861448,TRUE,Inventory Database,CLOBETASOL,Ointment,0.05,%,High Potency Steroid,21922-0017-07,CLOBETASOL Ointment 0.05%,"1,020",60,$498.72 ,$3.95 ,3/20/2024,900,13,CLOBETASOL OIN 0.05%,SR-DB : Updated on 11/18/2024,244,High Potency Steroid,clobetasol propionate 0.0005 MG/MG Topical Ointment,Clobetasol Oin 0.05%
34,36,CLOBETASOLSHA0.05%,77993322- new,TRUE,118,NC,NC,,861487,TRUE,Inventory Database X,CLOBETASOL,Sol,0.05,%,Scalp Topical Steroids,12345-6789-01,CLOBETASOL Sol 0.05%,,,,,,,,,SR-DB : Updated on 11/18/2024,58,Scalp Topical Steroids,clobetasol propionate 0.5 MG/ML Topical Solution,Clobetasol Solution 0.05%
34,36,CLOBETASOLSHA0.05%,77993322- new,TRUE,118,NC,NC,,861353,TRUE,Inventory Database X,CLOBETASOL,Foam,0.05,%,Scalp Topical Steroids,12345-6789-01,CLOBETASOL Foam 0.05%,,,,,,,,,SR-DB : Updated on 11/18/2024,57,Scalp Topical Steroids,clobetasol propionate 0.5 MG/ML Topical Foam,Clobetasol Foam 0.05%
34,36,CLOBETASOLSHA0.05%,77993322- new,TRUE,118,NC,NC,,861434,TRUE,Inventory Database X,CLOBETASOL,Gel,0.05,%,High Potency Topical Steroid,12345-6789-01,CLOBETASOL Gel 0.05%,,,,,,,,,SR-DB : Updated on 11/18/2024,75,High Potency Topical Steroid,clobetasol propionate 0.0005 MG/MG Topical Gel,Clobetasol Gel 0.05%
38,40,CLOTRIM/BETADIPROPLOTION,77993322- new,TRUE,30,27.36,1.55,,308715,TRUE,Inventory Database X,BETAMETH DIP,Lot,0.05,%,Scalp Topical Steroids,12345-6789-01,BETAMETH DIP Lot 0.05%,,,,,,,,,SR-DB : Updated on 11/18/2024,55,Scalp Topical Steroids,betamethasone 0.5 MG/ML / clotrimazole 10 MG/ML Topical Lotion,Betameth Dip Lotion 0.05%
38,40,CLOTRIM/BETADIPROPLOTION,77993322- new,TRUE,30,27.36,1.55,,377661,TRUE,Inventory Database X,CLOTRIM/BETA DIPROP,Lotion,,%,Scalp Topical Steroids,12345-6789-01,CLOTRIM/BETA DIPROP Lotion%,,,,,,,,,SR-DB : Updated on 11/18/2024,59,Scalp Topical Steroids,clotrimazole Topical Lotion,Clotrim/Beta Diprop Lotion%
40,41,FLUOCINOLONEACETOILSCALP,77993322- new,TRUE,118.28,NC,NC,,1191299,TRUE,Inventory Database,FLUOCIN ACET,Solution,0.01,%,Corticosteroid,21922-0003-01,FLUOCIN ACET Solution 0.01%,"1,020",60,$187.50 ,$9.19 ,8/29/2024,540,7,FLUOCIN ACET SOL 0.01%,SR-DB : Updated on 11/18/2024,290,Corticosteroid,fluocinolone acetonide 0.1 MG/ML Otic Solution,Fluocin Acetate Solution 0.01%
40,41,FLUOCINOLONEACETOILSCALP,77993322- new,TRUE,118.28,NC,NC,,385106,TRUE,Inventory Database X,FLUOCIN ACET,Oil,,,Scalp Topical Steroids,12345-6789-01,FLUOCIN ACET Oil,,,,,,,,,SR-DB : Updated on 11/18/2024,61,Scalp Topical Steroids,fluocinolone Topical Oil,Fluocin Acetate Oil
