Index,ID,Drug,Insurance,Quantity,Net,Copay,Covered,Rxcui,Class,NDC,In Stock,Pack Size,AWP,ACQ,Price Update,Units Qty,Scripts,Db Status,RxNorm Name,Cleaned Up Drug Name
1,1,METRONIDAZOL Gel 1%,77993322- new,55,104.64,1.55,,577237,Biopsy Topical ABX,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,metronidazole 0.01 MG/MG Topical Gel,Metronidazol Gel 1%
2,3,CLINDAMYCIN Lot 1%,77993322- new,60,42.79,1.55,,197519,Acne Topical ABX,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,clindamycin 10 MG/ML Topical Lotion,Clindamycin Lotion 1%
3,4,CLINDAMYCIN Sol 1%,77993322- new,60,18.74,1.55,,309333,Acne Topical ABX,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,clindamycin 10 MG/ML Topical Solution,Clindamycin Solution 1%
4,5,METRONIDAZOL Cre 0.75%,77993322- new,45,58.62,1.55,,311678,Biopsy Topical ABX,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,metronidazole 7.5 MG/ML Topical Cream,Metronidazol Cream 0.75%
5,6,METRONIDAZOL Gel 0.75%,77993322- new,45,86.48,1.55,,311679,Biopsy Topical ABX,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,metronidazole 0.0075 MG/MG Topical Gel,Metronidazol Gel 0.75%
6,7,HYDROCORTISO Lot 0.1%,77993322- new,59,NC,NC,,103403,Scalp Topical Steroids,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,hydrocortisone 10 MG/ML Topical Lotion,Hydrocortiso Lotion 0.1%
7,8,FLURANDRENOL Lot 0.05%,77993322- new,120,NC,NC,,197719,Scalp Topical Steroids,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,flurandrenolide 0.5 MG/ML Topical Lotion,Flurandrenol Lotion 0.05%
8,9,DESONIDE Lot 0.05%,77993322- new,59,NC,NC,,197572,Scalp Topical Steroids,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,desonide 0.5 MG/ML Topical Lotion,Desonide Lotion 0.05%
9,13,CROTAN Lot 10%,77993322- new,237,NC,NC,,2049603,Non-Ster Anti-Inflam,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,crotamiton 100 MG/ML Topical Lotion [Crotan],Crotan Lotion 10%
12,16,DOXYCYCLINE Hyclate Tab 75mg,77993322- new,30,17.84,0,,350481,ABX Orals,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,doxycycline 75 MG,Doxycycline Hydrochloride Tablet 75 Mg
12,16,DOXYCYC MONO Tab 75mg,77993322- new,30,17.84,0,,1649429,ABX Orals,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,doxycycline monohydrate 75 MG Oral Tablet,Doxycycline Monohydrate Tablet 75 Mg
14,17,DOXYCYC MONO Tab 150mg,77993322- new,30,NC,NC,,1650444,ABX Orals,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,doxycycline monohydrate 150 MG Oral Tablet,Doxycycline Monohydrate Tablet 150 Mg
15,18,CEPHALEXIN Cap 500mg,77993322- new,30,1.93,0,,309114,ABX Orals,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,cephalexin 500 MG Oral Capsule,Cephalexin Capsule 500 Mg
16,20,MINOCYCLINE Cap 100mg,77993322- new,30,13.77,0,,197984,ABX Orals,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,minocycline 100 MG Oral Capsule,Minocycline Capsule 100 Mg
17,21,AMNESTEEM Cap 20mg,77993322- new,,,,,404061,Accutane,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,isotretinoin 20 MG Oral Capsule [Amnesteem],Amnesteem Capsule 20 Mg
17,21,AMNESTEEM Cap 40mg,77993322- new,,,,,404064,Accutane,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,isotretinoin 40 MG Oral Capsule [Amnesteem],Amnesteem Capsule 40 Mg
19,23,ISOTRETINOIN Cap 30mg,77993322- new,,,,,403930,Accutane,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,isotretinoin 30 MG Oral Capsule,Isotretinoin Capsule 30 Mg
20,24,ZENATANE Cap 10mg,77993322- new,,,,,1373333,Accutane,12345-6789-01,,,,,,,,SR-DB : Updated on 11/18/2024,isotretinoin 10 MG Oral Capsule [Zenatane],Zenatane Capsule 10 Mg
